code,name,year_founded
300017,网宿科技,2000
600208,新湖中宝,1992
002431,棕榈股份,1991
600991,广汽长丰,1996
000504,南华生物,1991
600608,ST沪科,1991
002628,成都路桥,1988
600230,沧州大化,1998
300388,国祯环保,1997
002542,中化岩土,2001
200706,瓦轴B,1997
000689,ST宏业,1992
002193,如意集团,1993
002707,众信旅游,1992
600039,四川路桥,1999
600511,国药股份,1999
300452,山河药辅,2001
600083,博信股份,1993
300313,天山生物,2003
002051,中工国际,2001
002210,飞马国际,1998
600993,马应龙,1994
600175,美都能源,1993
600482,中国动力,2000
000532,华金资本,1992
600718,东软集团,1991
000993,闽东电力,1998
300157,恒泰艾普,2005
300266,兴源环境,1992
300089,文化长城,1996
600876,洛阳玻璃,1994
002149,西部材料,2000
002640,跨境通,2003
000751,锌业股份,1992
000525,红太阳,1991
900908,氯碱B股,1992
600182,S佳通,1993
002687,乔治白,2001
600857,宁波中百,1992
603567,珍宝岛,1996
600012,皖通高速,1996
002675,东诚药业,1998
300275,梅安森,2003
000951,中国重汽,1998
002330,得利斯,2003
002592,八菱科技,2001
600686,金龙汽车,1992
600289,*ST信通,1995
002099,海翔药业,2004
002194,*ST凡谷,1989
300194,福安药业,2004
002642,荣之联,2001
600356,恒丰纸业,1994
002600,领益智造,1975
600222,太龙药业,1998
600389,江山股份,1990
002036,联创电子,1998
000988,华工科技,1999
002244,滨江集团,1996
000423,东阿阿胶,1993
600595,中孚实业,1993
002162,悦心健康,1993
600273,嘉化能源,1998
000100,TCL集团,2002
600870,*ST厦华,1995
300062,中能电气,2002
601699,潞安环能,2001
603030,全筑股份,1998
000622,恒立实业,1993
300227,光韵达,2005
000851,高鸿股份,1994
002759,天际股份,1996
002122,*ST天马,2002
603311,金海环境,1995
002546,新联电子,2003
300106,西部牧业,2003
600853,龙建股份,1993
000905,厦门港务,1999
600663,陆家嘴,1992
000511,烯碳退,1988
600405,动力源,1995
600233,圆通速递,1992
002130,沃尔核材,1998
600510,黑牡丹,1995
603566,普莱柯,2002
002235,安妮股份,1998
000880,潍柴重机,1998
000534,万泽股份,1992
000593,大通燃气,1994
600867,通化东宝,1992
600157,永泰能源,1989
601318,中国平安,1988
002128,露天煤业,2001
300166,东方国信,1997
300108,吉药控股,2000
000709,河钢股份,1994
002102,冠福股份,2002
300356,光一科技,2000
600001,邯郸钢铁,1998
002434,万里扬,2003
300220,金运激光,2005
600768,宁波富邦,1981
600256,广汇能源,1999
002104,恒宝股份,1996
300363,博腾股份,2005
600327,大东方,1998
000930,中粮生化,1998
600616,金枫酒业,1992
002288,超华科技,1999
600215,长春经开,1993
600846,同济科技,1993
002517,恺英网络,2000
600543,莫高股份,1995
600076,康欣新材,1993
002656,摩登大道,2002
601218,吉鑫科技,2003
603901,永创智能,2002
300141,和顺电气,1988
600589,广东榕泰,1997
600172,黄河旋风,1998
002318,久立特材,2004
300445,康斯特,2004
000650,仁和药业,1996
600832,东方明珠,1992
000047,ST中侨,1988
200012,南玻B,1984
300086,康芝药业,1994
600209,*ST罗顿,1993
600123,兰花科创,1998
002915,中欣氟材,2000
603118,共进股份,1998
601113,华鼎股份,2002
600167,联美控股,1999
300022,吉峰农机,1994
300121,阳谷华泰,2000
000055,方大集团,1994
603309,维力医疗,2004
600706,曲江文旅,1992
603222,济民制药,1996
600325,华发股份,1992
600339,中油工程,1999
002691,冀凯股份,2003
600787,中储股份,1997
603636,南威软件,2002
601766,中国中车,2007
300201,海伦哲,2005
600355,精伦电子,1994
000005,世纪星源,1987
002220,天宝食品,1997
600336,澳柯玛,1998
300120,经纬电材,1999
600403,大有能源,1998
600265,ST景谷,1999
002184,海得控制,1994
600593,大连圣亚,1994
002180,纳思达,1991
300056,三维丝,2001
600345,长江通信,1996
300128,锦富技术,2004
600789,鲁抗医药,1993
002326,永太科技,1999
300350,华鹏飞,2000
600382,广东明珠,1994
000683,远兴能源,1997
601238,广汽集团,1997
600637,东方明珠,1992
002314,南山控股,2001
000789,万年青,1997
601880,大连港,2005
600900,长江电力,2002
300367,东方网力,2000
600357,承德钒钛,1994
300270,中威电子,2000
002087,新野纺织,1994
002390,信邦制药,1995
300364,中文在线,2000
600801,华新水泥,1993
002246,北化股份,2002
600152,维科技术,1993
300016,北陆药业,1992
002351,漫步者,2001
600791,京能置业,1993
600218,全柴动力,1998
600779,水井坊,1993
000977,浪潮信息,1998
600570,恒生电子,1997
300032,金龙机电,1993
002294,信立泰,1998
603188,亚邦股份,2006
000630,铜陵有色,1992
601801,皖新传媒,2002
600958,东方证券,1997
601998,中信银行,2006
000028,国药一致,1986
603080,新疆火炬,2003
600026,中远海能,1994
600573,惠泉啤酒,1997
600419,天润乳业,1999
002155,湖南黄金,2000
002569,步森股份,2005
000678,襄阳轴承,1993
002405,四维图新,2002
600346,恒力股份,1999
002191,劲嘉股份,1996
000953,ST河化,1993
002357,富临运业,2002
600522,中天科技,1996
600145,*ST新亿,1998
002214,大立科技,2005
002024,苏宁易购,2001
600621,华鑫股份,1992
002094,青岛金王,1997
002181,粤传媒,1992
002421,达实智能,1995
002734,利民股份,1996
601222,林洋能源,1995
002297,博云新材,1994
000049,德赛电池,1985
002695,煌上煌,1999
