code,name,year_listed
300129,泰胜风能,2010
200160,东沣B,2000
600647,同达创业,1993
200539,粤电力B,1995
000586,汇源通信,1995
300119,瑞普生物,2010
002444,巨星科技,2010
600796,钱江生化,1997
603889,新澳股份,2014
000955,欣龙控股,1999
600479,千金药业,2004
600251,冠农股份,2003
002275,桂林三金,2009
600567,山鹰纸业,2001
002664,长鹰信质,2012
000673,当代东方,1997
603083,剑桥科技,2017
002643,万润股份,2011
300344,太空智造,2012
600827,百联股份,1994
600625,PT水仙,1993
000860,顺鑫农业,1998
002639,雪人股份,2011
600211,西藏药业,1999
300087,荃银高科,2010
300396,迪瑞医疗,2014
600819,耀皮玻璃,1994
002550,千红制药,2011
600353,旭光股份,2002
603010,万盛股份,2014
000633,合金投资,1996
600761,安徽合力,1996
600734,实达集团,1996
002571,德力股份,2011
300434,金石东方,2015
000681,视觉中国,1997
300187,永清环保,2011
600102,莱钢股份,1997
000895,双汇发展,1998
600836,界龙实业,1994
002001,新和成,2004
600973,宝胜股份,2004
002711,欧浦智网,2014
002730,电光科技,2014
300015,爱尔眼科,2009
300034,钢研高纳,2009
002176,江特电机,2007
300419,浩丰科技,2015
000889,茂业通信,1997
600694,大商股份,1993
002468,申通快递,2010
300376,易事特,2014
600259,广晟有色,2000
600810,神马股份,1994
601633,长城汽车,2011
000029,深深房A,1993
002677,浙江美大,2012
600794,保税科技,1997
002452,长高集团,2010
601328,交通银行,2007
000564,供销大集,1994
000620,新华联,1996
600378,天科股份,2001
600052,浙江广厦,1997
603227,雪峰科技,2015
601038,一拖股份,2012
603006,联明股份,2014
002064,华峰氨纶,2006
002700,新疆浩源,2012
000793,华闻传媒,1997
002683,宏大爆破,2012
600520,文一科技,2002
002708,光洋股份,2014
000723,美锦能源,1997
002565,顺灏股份,2011
002486,嘉麟杰,2010
002170,芭田股份,2007
000702,正虹科技,1997
300037,新宙邦,2010
000545,金浦钛业,1993
000652,泰达股份,1996
300240,飞力达,2011
600704,物产中大,1996
002495,佳隆股份,2010
002625,光启技术,2011
600409,三友化工,2003
300070,碧水源,2010
300258,精锻科技,2011
600452,涪陵电力,2004
002138,顺络电子,2007
600825,新华传媒,1994
900903,大众B股,1992
600426,华鲁恒升,2002
900901,云赛B股,1992
000837,秦川机床,1998
002487,大金重工,2010
002561,徐家汇,2011
900922,三毛B股,1993
600231,凌钢股份,2000
300040,九洲电气,2010
002222,福晶科技,2008
002491,通鼎互联,2010
002151,北斗星通,2007
300331,苏大维格,2012
300019,硅宝科技,2009
300002,神州泰岳,2009
002393,力生制药,2010
000915,山大华特,1999
002045,国光电器,2005
000089,深圳机场,1998
000619,海螺型材,1996
000826,启迪桑德,1998
002712,思美传媒,2014
600137,浪莎股份,1998
300155,安居宝,2011
600698,湖南天雁,1993
600370,三房巷,2003
600400,红豆股份,2001
002032,苏泊尔,2004
600309,万华化学,2001
300385,雪浪环境,2014
002219,恒康医疗,2008
000858,五粮液,1998
000066,中国长城,1997
601005,重庆钢铁,2007
000732,泰禾集团,1997
600519,贵州茅台,2001
002278,神开股份,2009
002319,乐通股份,2009
600391,航发科技,2001
600105,永鼎股份,1997
600854,春兰股份,1994
600021,上海电力,2003
300248,新开普,2011
002304,洋河股份,2009
002206,海利得,2008
000691,亚太实业,1997
300247,乐金健康,2011
200761,本钢板B,1997
002662,京威股份,2012
603009,北特科技,2014
002192,融捷股份,2007
000680,山推股份,1997
000027,深圳能源,1993
600092,S*ST精密,1997
000501,鄂武商A,1992
601777,力帆股份,2010
002429,兆驰股份,2010
002365,永安药业,2010
900933,华新B股,1994
600523,贵航股份,2001
300736,百华悦邦,2018
000665,湖北广电,1996
600343,航天动力,2003
600555,海航创新,2001
000705,浙江震元,1997
600396,金山股份,2001
002729,好利来,2014
002328,新朋股份,2009
603355,莱克电气,2015
200418,小天鹅B,1996
000023,深天地A,1993
002027,分众传媒,2004
600491,龙元建设,2004
300235,方直科技,2011
601002,晋亿实业,2007
600269,赣粤高速,2000
600852,*ST中川,1994
900911,金桥B股,1993
300102,乾照光电,2010
002347,泰尔股份,2010
600323,瀚蓝环境,2000
002544,杰赛科技,2011
000407,胜利股份,1996
002223,鱼跃医疗,2008
600461,洪城水业,2004
300365,恒华科技,2014
002067,景兴纸业,2006
000990,诚志股份,2000
002109,兴化股份,2007
000568,泸州老窖,1994
002470,金正大,2010
300300,汉鼎宇佑,2012
300458,全志科技,2015
600548,深高速,2001
300335,迪森股份,2012
600186,莲花健康,1998
000488,晨鸣纸业,2000
002647,民盛金科,2011
300450,先导智能,2015
000603,盛达矿业,1996
601311,骆驼股份,2011
600143,金发科技,2004
300349,金卡智能,2012
002609,捷顺科技,2011
002466,天齐锂业,2010
002447,晨鑫科技,2010
600814,杭州解百,1994
300256,星星科技,2011
600751,海航科技,1996
002404,嘉欣丝绸,2010
600300,维维股份,2000
002717,岭南股份,2014
300208,恒顺众昇,2011
002367,康力电梯,2010
002015,霞客环保,2004
000731,四川美丰,1997
601288,农业银行,2010
600110,诺德股份,1997
002370,亚太药业,2010
600681,百川能源,1993
002177,御银股份,2007
300236,上海新阳,2011
900953,凯马B,1998
600267,海正药业,2000
600305,恒顺醋业,2001
300382,斯莱克,2014
300457,赢合科技,2015
300389,艾比森,2014
002593,日上集团,2011
300224,正海磁材,2011
601139,深圳燃气,2009
000418,小天鹅A,1997
601116,三江购物,2011
600640,号百控股,1993
600635,大众公用,1993
300018,中元股份,2009
002537,海联金汇,2011
603126,中材节能,2014
000692,惠天热电,1997
300297,蓝盾股份,2012
900955,海创B股,1999
002385,大北农,2010
600082,海泰发展,1997
000932,华菱钢铁,1999
600171,上海贝岭,1998
900939,汇丽B,1996
300459,金科文化,2015
002018,*ST华信,2004
000998,隆平高科,2000
600535,天士力,2002
601599,鹿港文化,2011
300726,宏达电子,2017
002499,科林环保,2010
002224,三力士,2008
300014,亿纬锂能,2009
002380,科远股份,2010
002410,广联达,2010
002627,宜昌交运,2011
300048,合康新能,2010
002509,天广中茂,2010
300402,宝色股份,2014
600229,城市传媒,2000
002250,联化科技,2008
002614,奥佳华,2011
000556,PT南洋,1994
600550,保变电气,2001
601515,东风股份,2012
600326,西藏天路,2001
000042,中洲控股,1994
000668,荣丰控股,1996
300230,永利股份,2011
002150,通润装备,2007
002689,远大智能,2012
002308,威创股份,2009
000950,*ST建峰,1999
300076,GQY视讯,2010
002269,美邦服饰,2008
600379,宝光股份,2002
002749,国光股份,2015
300289,利德曼,2012
000570,苏常柴A,1994
000952,广济药业,1999
300383,光环新网,2014
300115,长盈精密,2010
600622,光大嘉宝,1992
002264,新华都,2008
600371,万向德农,2002
600292,远达环保,2000
002026,山东威达,2004
300246,宝莱特,2011
600470,六国化工,2004
601717,郑煤机,2010
000498,山东路桥,1997
601018,宁波港,2010
002496,辉丰股份,2010
000014,沙河股份,1992
000890,法尔胜,1999
300231,银信科技,2011
002446,盛路通信,2010
000551,创元科技,1994
002579,中京电子,2011
002501,利源精制,2010
600533,栖霞建设,2002
002040,南京港,2005
600212,江泉实业,1999
600270,外运发展,2000
600302,标准股份,2000
002387,维信诺,2010
600614,鹏起科技,1992
000666,经纬纺机,1996
002216,三全食品,2008
002332,仙琚制药,2010
600538,国发股份,2003
603123,翠微股份,2012
300410,正业科技,2014
600205,S山东铝,1999
601558,ST锐电,2011
600106,重庆路桥,1997
000761,本钢板材,1998
002471,中超控股,2010
300122,智飞生物,2010
600210,紫江企业,1999
603199,九华旅游,2015
002480,新筑股份,2010
600087,退市长油,1997
002739,万达电影,2015
900918,耀皮B股,1993
002164,宁波东力,2007
000036,华联控股,1994
002692,睿康股份,2012
600653,申华控股,1990
000695,滨海能源,1997
600219,南山铝业,1999
002631,德尔未来,2011
002650,加加食品,2012
600358,国旅联合,2000
002618,丹邦科技,2011
